Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bolivia,,,,,,,,,,,"16,3853028798","16,8357153834","20,1375598086","20,4170458592","14,5814495788","23,0225695166","19,184547001","19,1573372973","24,6948219462","20,8313934154","16,6376066472","16,0510481128","15,6240086502","13,2382287214","19,6716054538","19,4643030275","13,5624888689","13,5840640447","13,98077856","11,5875574072","12,5319362739","15,5777689536","16,7043353742","16,5637753579","14,371194989","15,2440033816","16,2372204184","19,6319691258","23,6065116343","18,7718519756","18,1434787352","14,2684344768","16,2946733632","13,2320723782","11,0217031707","14,2536216933","13,8653311292","15,1866548335","17,5527400807","16,9712613026","17,0070182413",
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,9831460185","41,2139024497",42,38,28,"20,5512781404","19,0774402061","18,5598725889","18,8444830267","19,3999963132",22,"23,88720107","31,0573181187","28,2",21,"19,5",
Botswana,"6,0157316222","7,3994239676","8,799217309","9,8072664953","12,2829511792","13,262195122","21,8157181572","25,4462003115","30,7368421053","38,2538253825","45,322697607","50,4405286344","50,9441384736","50,8999704928","47,8720846357","41,8998667428","33,771251932","33,4648257725","36,3636363636","37,2193953906","40,0521496574","43,4056761269","37,6584852399","29,3891200373","29,4435306167","22,994412881","21,4853452558","15,5008334596","23,5845154886","36,1081829228","37,3669769651","33,2101747013","30,4193006322","28,7796119202","26,464058788","24,6352008009","24,9912843252","28,1852199811","32,6046392913","23,9566069783","31,7598512599","25,774372177","26,958944843","29,9972188342","33,150634904","26,2917505525","24,0178825358","25,8156671701","32,3112197506","24,3913817759","28,3345650369",
Brazil,"19,678037767","21,3561377631","19,6046616856","19,2598833606","18,6023977763","20,0239245985","19,8928912981","16,9187143775","18,9175614384","22,3521985357","20,5420320915","21,1179144677","21,1708137593","23,2440898226","25,3886901138","26,8388731532","23,1162106612","22,0691465973","22,9732218585","22,7644531027","23,3464749536","23,0841204872","21,0937644321","16,6820441121","15,7405601053","19,2007534698","19,0931088921","22,3046606069","22,7185283455","26,9027870631","20,1666069122","19,7691008598","18,9346033048","20,8463587802","22,1454157563","18,0272999235","17,0400303831","17,4263525048","17,0284138776","16,3766197183","18,2501301419","18,028531582","16,1961318752","15,7707765179","17,1174010996","16,2056948481","16,7558422002","18,3276194284","20,6855584551","16,5084834948","19,2495491112",
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,5828970552","18,6804576085","20,625488663","23,2575201761","29,6502864034","28,6560948262","36,6616989568","41,3142936365","35,4930672541","33,8053097345","21,3800179556","13,0579196324","14,4299926441","21,2597243816","15,0554611916","13,4864385488","11,3667042302","10,4374019247","12,9848740953","13,6680736743",,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,"33,9963545585","35,487813156","34,1295283579","32,8899271942","33,2033501404","32,1972792356","35,8763419404","32,90384138","34,4174343331","33,1090560786","25,5887799413","22,5976425645","19,8889439363","15,2820334828","9,3911717991","15,6986037554","9,0421877344","10,2156664014","16,8372952298","17,7546974885","17,9797591275","20,237873151","19,6808790946","21,1553276826","22,7458740814","27,5520921746","32,140819811","34,0932286581","37,5416964405","29,3658053433","24,9233373039",
Burkina Faso,"8,5199387837","8,6542324732","8,7078007056","8,8012369065","9,6391083916","8,7119530671","7,9720840503","8,0227155614","8,270184961","9,6103071371","10,2700337748","14,8739002149","17,2774944406","20,631068913","25,5231718177","23,1042220006","22,8445038791","19,5624544445","18,3189338097","16,4000938533","15,1069505709","14,1309296447","17,9266349265","17,1322658595","14,166628483","22,9532781498","20,1365915966","19,222656406","18,7889112721","20,4100171656","18,9133966256","21,2456099036","19,30243347","19,459397387","27,1661616458","23,9253428806","24,9447071243","27,3917783789","24,1745628345","18,3047815763","16,7543239974","13,7785378157","16,0120274568","17,4445277143","15,3421903868","20,4532747732","18,1147936635",,,,,
Burundi,"6,25","6,8965519851","7,377049259","6,0150376436","5,3691273455","5,7665931183","6,7675665221","6,8514838792","8,1896444167","8,2887700535","4,5307946194","7,6076786433","3,1816961019","5,3118238069","4,0522996009","7,5800764342","9,0884175035","11,1964113949","14,0368861787","14,9162154755","13,8857679939","17,0061755998","14,4573966444","22,8267996582","18,3708354842","13,8611293276","11,6442300027","22,612371611","15,0351399068","16,4628867955","14,5369768617","14,4097631879","10,6382980655","11,540149279","6,9741271511","6,3634363876","8,2098061574","6,0968494749","6,7716141929","5,8849363197","6,1418786693","6,2214545455","6,4397878892","10,6122353215","13,2996057675","10,7746067371","16,3773466524",,,,,
Cambodia,"20,1793708177","17,77777798","18,1818179803","17,6470576424","15,6934318845","13,4868421053","18,125","14,8367953649","14,2091150828","13,9088729871","12,5313282404",,,,,,,,,,,,,,,,,,,,,,,"11,8804071007","11,9385508111","14,552316844","14,7200558133","15,02049984","11,8337696622","16,9837280194","17,5289931981","18,6794949468","18,1245168534","20,0987603311","16,2076093248","18,4657001738","20,5505135225","21,197291326","18,6167278564","21,3599103752","17,3676571968",
Cameroon,,,,,,"12,5313277265","13,342898437","13,7646556059","13,3590735032","10,6955609381","16,0276563166","16,6471026231","18,2467810894","19,8914569698","17,0806863271","19,9738658729","17,5884525385","28,4892085624","31,2488126972","28,5203698747","20,9828387879","27,1877091322","24,79631653","25,9778457269","25,943660948","24,8849469565","25,5128340587","24,699763269","20,8973122904","17,0960125623","17,8119783733","16,6726548072","14,3053862787","13,6711603207","12,5711646025","13,2964771754","14,240258158","15,1304471939","15,0453955901","14,8591468267","16,720885475","20,3113152852","19,7891832805","17,4958115071","18,909582476","19,0683002652","16,8149134487","17,7196317433",,,,
