Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jamaica,"29,7240594504","28,3120281265","26,7176180876","24,1679881118","26,9231360253","26,5120967742","28,0188920092","29,2759201347","34,875996457","35,1566423642","31,5393832381","32,08827199","27,3365291677","31,5018309157","24,3238236384","25,7691124821","18,2131739843","12,2262468855","15,0452191997","19,2186362163","15,9058053447","20,2981025928","20,8689125225","22,2587661658","23,1222946091","24,3038115082","16,9441728935","20,6490653034","23,6221414886","26,6111653139","25,8843922533","24,3642757998","29,8285588427","28,3305412127","26,8275634122","28,7282193835","29,0735580862","29,1611735644",,,,,,,,"26,8342928689","28,3163033565","26,6406479535","24,0236065574","20,472274752","20,604274797",
Japan,,,,,,,,,,,"39,1234666262","35,8497197559","35,6219368107","38,1708512207","37,4158579735","32,8635626184","31,9277492447","30,9337598282","30,9913810935","32,5808585487","32,3290315753","31,2463946203","29,9425801918","27,9586316203","27,8337578459","28,3601294276","28,1251587461","28,6582552682","30,8421509633","32,0172865551","32,7202160888","32,4444454859","30,7539080017","29,4266958135","28,2491586145","28,3400398453","28,8742956105","28,3415828863","26,2560273667","24,8476273269","25,4399740432","24,7541939771","23,068997676","22,8485153806","23,0382013146","23,5664526889","23,7934125505","23,6939605106","23,5545155058","20,1966209047","20,2240095497",
Jordan,,,,,,,,,,,,,,,,,"35,3306540007","41,085156712","33,7610676248","31,5902140673","36,6855884097","45,3821547676","38,2575980248","32,2524197517","28,8281013425","20,5375705376","20,5352190793","23,3451054967","23,516163222","23,7426752666","31,8592362178","25,8659941858","33,4782852218","36,6300740025","33,2947765775","32,9635601386","30,523380048","25,7196815289","21,8138662564","21,5643632099","22,3533136696","21,0450269345","20,0856461724","20,709780925","27,3759578905","34,1487484376","29,6232573428","26,1465747496","23,9846376384","14,7821702658","15,3319660967",
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,5091210614","20,0250823333","28,7040745387","19,8885317347","20,5254926065","19,6281596814","20,4608589519","13,7042295437","18,5315513479","29,7326706482","33,8419824201","28,8866768215","26,2609085451","30,0779998297","33,4243934283","35,5266994942","27,5064843035","29,4145645191","25,1059463775",
Kenya,"19,7172689146","15,1906820856","14,552965114","12,9394916156","13,0642031235","14,3939434326","18,6102406095","20,172648796","20,0488289332","19,3721800902","24,396675165","23,9159870265","22,3226149349","25,8112376181","25,7565664184","18,1415643018","20,2393987342","23,6571912468","29,760017173","18,1327783023","24,507140623","22,9134416925","21,8602148395","20,9250655215","19,8110319511","25,3248237306","21,7680371734","24,289432873","25,4490410212","24,8620775862","24,1640928963","20,9705148586","16,9208390825","17,6104350597","19,2932429677","21,8197611034","15,0038226855","15,1409881438","16,6927164078","15,5214148675","17,4140906155","18,7903405243","15,1382158893","16,4821493892","16,9624955565","17,6496847905","18,4898738562","19,0263172391","19,206242217","19,4006813917","19,2979588509",
Kiribati,,,,,,,,,,,,,"10,9979762206","9,3989021866","6,0016442861","4,800722485","6,5992849942","6,3989926452","20,6987341772","14,6191775073","33,1145803611","49,676508646","63,3117882425","59,3357820631","48,8221058114","57,5200052473","73,1975176268","73,165735023","61,3046231792","61,0219368646","93,1293096344","45,5492429063","38,4021157558",,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.","11,4253395815","13,3673696172","13,3570667529","18,7177727505","14,3959265137","15,6359616802","22,5280789691","22,9532624831","26,9946201359","29,9787807471","25,3554759579","25,5387584432","21,650584414","25,6032712337","31,9901770446","28,6767891701","26,653850187","28,6942357665","33,0835818724","36,0949076481","31,8100111154","29,5740733512","28,6775684833","28,9946018173","30,2758558266","29,9654655959","29,1179417452","30,2999885381","31,3765803744","33,9294426297","37,5136857306","39,731823059","37,291544834","35,7317008141","36,9548411825","37,6669507421","38,8728264427","35,9711223884","24,9969634549","29,1234214341","30,562333813","29,1619384994","29,1967997842","29,8883333722","29,9326865505","29,6872051039","29,6219572557","29,4270537931","31,2112853229","26,2768385092","29,1526184184",
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,5968296328","26,1681326143","28,6322591592","27,4175966045","30,4514144894",
Kuwait,,,"13,0168453292","13,9911634757","13,3783783784","15,7543391188","17,681498829","21,3302752294","17,9810725552","19,1102123357","12,1212117433","9,3790712117","9,3032786885","9,5131228131","6,776816269","12,7244046991","16,5429592232","23,3159720983","20,2354421951","13,6509838622","13,9206817371","16,6308784115","25,1935690233","24,785975834","21,0241315181","18,8542837613","22,1099751834","17,5442337422","15,6958019139","12,2989253728","17,625113054","41,8557104859","22,3633406424","17,1915416579","16,1517620779","14,7522800099","15,1018635459","13,6425351654","18,4517710436","14,5597712029","10,665514261","14,3070741052","17,1268334771","16,6327889535","18,1880458983","16,4286017039","16,158805565","20,4567078972","18,4166437448","13,9174603175",,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,2703583062","31,0850439883","35,4666666667","24,1936237846","15,3765532145","19,9183874779","11,6665732908","9,0135782748","18,3400969954","25,197334963","21,680131136","15,4440719222","18,0262108454","20,009968799","17,999331378","17,6067186398","11,8299870379","14,4883880126","14,2720655862","23,7961126572","26,6429970324","28,948960035","27,2703554118","28,3837015629",
Laos,,,,,,,,,,,,,,,,,,,,,,,,,"6,1788619687","7,0422539139","6,9312797215","10,1890751422","13,5008518214",,,,,,,,,,,,"13,8976311423","14,0943096631","17,5383231325","16,7272507673","22,6969079788","23,4627930716","25,6067704309","32,532071816","30,0091847759","30,6868800139","26,0599721014",
Latvia,,,,,,,,,,,,,,,,,,,,,"25,5566801619","30,0094517958","30,6963096716","31,376064545","32,931554025","35,4374307863","36,4611260054","36,9900655253","36,3599839293","35,6881405564","40,0864830237","33,7345194488","41,2352985211","9,1765507839","19,123623011","14,3056470679","17,3563928351","19,5318420388","24,0795306054","23,4325688792","23,7099105911","26,6077690318","26,674423552","28,7527581906","33,034033165","34,3897296641","39,6899280282","40,3920009742","31,1741331604","20,2777311729","20,6685021555",
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,7698942289","19,288480465",25,"29,0999995765","36,652793382","36,4550836426","34,7924986768","29,2164948454","28,4026157788","22,8311024673","20,4112221368","22,8135453076","18,7482682183","19,1610239472","22,1785855634","21,9056288879","22,8581564477","27,6996796654","30,455397508","34,3083439382","32,6834077849",
Lesotho,"2,024291498","3,9215686275","7,0234113712","8,630952381","9,7035040431","11,4795918367","10,1234567901","11,5757146232","12,3034859877","11,6723259762","10,183299389","9,1407678245","11,2540192926","14,2687277051","12,6829268293","18,0831826401","34,2679127726","23,7953599048","25,0215703192","32,7466230045","37,0427412972","37,5991094488","43,4840466315","28,9256607258","36,1617782282","43,4763740328","40,3074530668","40,2111630538","45,5891037416","52,0468084842","56,0527411401","71,9936091258","72,5706297464","65,4245514467","66,4996155142","76,3662231312","76,6944948039","62,5054610021","48,9405569335","56,5842587062","44,1585257636","37,7672825146","32,9430883375","32,3886217677","26,6129175003","21,9773497358","20,6541715128","24,2107850101","27,8544503222","28,0150716734","28,0191762512",
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,9491004389","4,7404788809","9,3751910236","13,1954789288","16,4431277936",20,20,20,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,6157605376","13,1121255985","12,1507179541","16,2805400772","16,3308919434","12,1610486891","15,5016420361","12,3612976182","11,9604457699","11,1889101068","13,368660542","12,8983484531","13,9523809524","21,1314755003","11,5474977225","9,9222418767",21,"25,4","27,9",,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,6119402985","24,2891566265","15,7339988256","19,1665234167","18,418126266","21,2925821931","19,8526095934","23,8774472538","25,1927084028","22,1840926958","18,8893844781","19,2851518086","20,6921054502","21,8776883183","22,7027104619","23,908138173","26,3352610372","30,8703535352","26,7092767657","10,608650649","16,7706228002",
Luxembourg,,,,,,"30,2974839744","29,3215794569","35,2493078131","30,839252657","29,6676052208","21,0799087356","24,2379382168","23,2854317992","22,1094055731","17,2982940907","18,7048550461","18,5927325345","16,6661920413","20,3744544994","18,019585553","20,6060201326","20,0486787565","20,2967930127","19,8891895693","20,2035389533","16,5705437269","19,8348834955","22,5736764545","23,3111053814","23,0172320811","23,6928925234","25,3245279244","22,0278648554","22,1928537035","20,9937989996","19,6045081832","20,1910537711","22,2396121968","23,3361662054","23,9430174789","23,1548230503","24,428613832","22,0287342189","22,1678156559","21,7683630841","22,5361182201","20,3241726169","20,9223669996","20,7622380282","17,1090001765","18,6721600123",
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,"24,8077555571","27,3764441454","24,7301269152","25,5197481537","28,2489997696","27,4091544217","27,7777546044","27,0383073037","24,9806904233","30,2634207746","34,6534884435","34,613695871","34,6897265261","28,5183982332","21,4194142363","20,5216793979","17,7430122896","17,6756221891","11,6229375422","9,7385347408","10,537959881","14,39121702","16,8842654044","26,5533905329","34,5491572766","37,5652932081","31,0716777278","18,8742079991","12,394871779",
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,6681048021","17,6815153722","15,4851171007","15,993198627","15,4655793051","20,7578756212","20,0881655897","20,9733916869","22,2628581659","19,6980909335","22,2539024493","19,0804863133","20,6071407199","19,1381541185","21,9854511822","21,3226143188","21,4988486498","24,6384411585","26,8150071746","25,8993772615","25,4162376824",
Madagascar,"6,9613626258","5,8355142278","5,0444986016","6,7582297789","7,0701964588","6,5006339789","8,5328131469","9,2647420095","10,3193214615","10,7834546508","9,9127173565","11,2194733074","8,8197593084","9,0973835631","8,6601840357","8,1371583203","8,1347261571","8,0782570584","9,5865743738","16,0939306908","14,9624296984","11,4782460921","8,4857404659","8,365155605","8,6194994697","8,5461737211","9,0394901412","10,1065308435","13,2943776945","13,3894538852","16,9719072088","8,243237511","11,2086827455","11,4475836986","10,903125244","10,9424011575","11,6370042558","12,8139716719","14,7814018325","14,9204278697","15,0449648012","18,4997024436","14,2629265508","17,8929910583","23,3786003903","22,1981284184","25,2943398183","32,384285046","40,392603898","32,9556991926",,
Malawi,"10,3092783505","12,7506014435","8,3333333333","9,8312545855","7,6923076923","13,9719341062","17,4193548387","13,5107471853","16,1037689672","18,374717833","25,7331681124","19,1699604743","24,3932411674","22,3901098901","27,323943662","33,7171984142","26,2581699346","24,6840659341","38,4413622704","30,237132409","24,7438057986","17,624763617","21,4033397559","22,7974957961","12,8792320629","18,5870741914","12,4699261878","17,2706744661","21,4180624717","24,5567662303","23,0404651022","20,2357050783","19,9346114672","15,1712259335","29,0981818885","17,3921390916","12,3270861275","11,5988120929","13,4650221963","14,6500072559","13,5646985693","14,8965295134","16,1372821481","17,1034323949","18,2146907438","22,6848214797","25,6714824495","26,9572573366","26,2764015452","24,8880434902","24,7720850694",
Malaysia,"13,770002555","16,1121307946","18,8075700529","18,2946152228","17,966000191","17,7614815392","17,7130048491","18,285831413","18,2663383539","15,5605284053","20,1886367423","20,1931740387","20,9484915012","23,0070707117","27,7270565189","22,7797663406","21,2594771694","23,2088563528","24,0178159083","26,0390966611","27,3966229804","31,5082520216","33,5856641386","34,0780999709","30,2232889016","24,8387024924","23,4017653194","20,8729344839","23,5431618707","28,1468920836","32,3603259574","37,7907536127","35,3625526387","39,1839370905","41,202292687","43,6400978509","41,4790355011","42,9730841805","26,6753307828","22,3819995644","26,8674891485","24,3982199734","24,7773431486","22,7633850643","23,0495646011","19,9858358296","20,4531013629","21,5564544139","19,3227669078","14,444809987","21,4156820252",
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,2919230851","30,5376344086","33,1667828473","30,0539219168","33,6395962337","26,3230087852","22,2559244137","20,0797387126","20,1644706316","25,6740801629","40,9460688137",,,,,,
Mali,,,,,,,,"17,3921637503","17,0813259008","17,3408455696","15,2773172534","16,0058256948","17,0861291879","16,8868740608","13,5329545452","15,5218721135","13,3633796219","15,5885840892","15,9178359415","15,4745263291","15,4678938194","15,9724992996","16,2844885289","12,1485624499","12,3089534072","15,7745804409","20,7152265901","20,7407413888","21,3221818952","21,7017970678","22,9672332932","22,7651791832","21,8537720598","21,8075961434","27,328360091","22,9001280076","22,8999840831","20,5999894757","20,9","21,2","24,5649322465","31,0100173027","18,6137584003","24,2311548382","20,9897696331","22,6450532738","22,8723239489","22,3584233577",,,,
Malta,,,,,,,,,,,"30,0268216268","26,642011263","22,8899149116","20,2751390758","24,8843443285","21,562035882","25,2280021744","23,8201447173","21,5148217746","23,3716450698","22,5768686184","24,8364244104","28,9315241406","27,4876529753","26,511727884","25,7805623433","23,3909460738","25,2385278518","26,4066138131","27,1532334094","30,6266760557","28,9600176734","25,2780440428","27,3768842688","28,0976324396","29,3126138053","26,2716117687","21,6696504751","19,1751859916","18,2334870114","26,2428748149","17,6455042941","14,2614237519","16,5095749315","15,9114132125","19,7321000771","20,5284953658","22,3217550274","20,7636425072","16,9705230874","16,8137333547",
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,"22,6282546485","35,3934428794","43,2068696542","26,3437637826","11,688342966","10,1079437157","9,9698024575","15,5659231828","19,9668209041","16,3011278671","15,9851191687","16,5818088347","22,0633754713","6,2688135781","11,6774134794","25,0289881254","30,7730090901","28,3802038938","22,4934279803","18,5232323461","26,2956794365","30,4064525179","34,2127111668","26,3947038167","24,4463915038","28,172944858","29,7797877814","28,3206387557","27,9918946918","18,5850797811","19,9661754443","20,9430286585","20,6718266357","14,3265139442","49,0990022324","20,3773295569","17,625","15,1397494009","13,9715868753","17,7724732264","20,6299905527","23,5351488781","14,5877443053","26,2225303124","47,2384190605","61,4686775902","29,9649849147","36,5029296347","35,4622930268","30,6077842159","27,3100805711",
Mauritius,,,,,,,,,,,,,,,,,"30,6747025319","29,8269162244","30,6001117758","31,086677822","20,6445558621","25,1465839611","18,090311266","17,391481803","21,9481824583","23,3703458724","21,8371927801","25,4853688783","30,8886057173","30,9872071781","30,2104462475","28,2217589345","29,066881318","30,5395542638","31,7792849288","25,5804917365","24,6786935246","29,3887833675","25,7786094566","26,773978308","26,1377803796","20,6968411166","22,0923269891","23,5994407179","24,4209389673","22,5295047731","26,5513820343","26,9234193245","27,297200659","21,2443245139","23,8454367701",
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"18,3460927308","17,5712362892","16,4321882835","18,3990679374","18,8739369837","20,2703877002","19,4426697667","20,1592292195","19,386918599","19,6431802355","22,7252980948","20,2413007055","20,323076746","21,3854625178","23,1798403658","23,691218343","22,2890711623","22,8424658108","23,6014758121","25,9507144437","27,1572211309","27,3838695494","22,9111961008","20,7505142089","19,8608662948","21,1754682167","18,5382382715","19,2605549503","22,5608651725","22,9428885003","23,1416152169","23,3286003569","23,2916312982","20,9980644015","21,8920591871","19,9687431875","23,2376616187","25,975799856","24,3355649999","23,5708735502","23,8680026339","20,8584733686","20,6613610911","22,8913606463","24,6584675219","23,723976172","26,2060529973","25,5428705019","26,9401587553","23,4120427246","24,9674086657",
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,"37,7464788732",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,8901333956","28,9575289575","59,7707139135","55,7990105516","28,8253658821","24,8761516712","24,247204069","23,8221013096","26,8011494645","22,8842479241","23,9471482281","20,0033425512","21,6601824679","23,176671874","26,3593337329","30,8256703007","32,7478120738","38,1058608912","39,228202359","23,1424789012","23,6565575025",
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,"69,9558707996","70,2293398473","58,0062974478","57,8003326683","62,7919917687","63,8526578955","50,8314409837","46,8027903443","47,8010957557","29,0673253752","30,9643590015","25,6548698017","21,0659575604","19,066597676","26,7849958128","26,2010287578","25,034686139","30,4655243183","31,6881228209","29,0107404832","25,1739497844","24,6417075945","32,2627884265","31,1831570244","37,5285591543","35,8851879539","38,7051385955","43,5661414823","34,370945916","40,794691219",
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,3884042305","23,4358736777","18,7645761341","15,4142109794","16,6309737693","17,726446281","25,4460886965","33,8057510128","40,5514481526","27,1213334465","22,7933328071",
Morocco,"10,2434747448","9,695464443","11,4344907347","12,0105501622","10,4545641076","10,6166219839","10,0989287167","13,2524649715","12,5883415041","14,1944910439","18,4855901304","17,9446388801","15,2795031056","16,863005149","20,4591532499","25,3879322183","29,1977523846","32,5093949077","25,4342386772","24,4926905533","24,2044810366","26,1166354355","28,219751404","23,9917815432","25,2849038986","25,0430672034","22,7967242591","21,0865478252","21,0309614394","23,6866842778","25,2924963068","22,6210222462","23,2071762761","22,4598361869","21,3451323505","20,7297072793","19,5833090645","20,7012702993","25,9984130494","24,8033082714","25,5324990277","26,1459843059","25,9279880384","27,3533031041","29,129629813","28,7968632445","29,4282091786","32,4844950296","38,1160874103","35,6441199319","35,121457225",
Mozambique,,,,,,,,,,,,,,,,,,,,,"7,6322697613","9,5283042574","11,3841981562","11,5999060125","11,6828721979","3,4569709367","7,0261318504","17,0141647453","21,4262909283","21,0055175439","22,0678083653","16,1793955145","19,7698465314","20,4332140959","22,3436473992","26,9753977892","20,223337062","20,5860000216","18,3364297158","19,9908646218","30,9505761193","19,9717684789","29,9582953094","22,2763768763","18,649945271","18,6943848922","17,6532879844","16,1355046552","15,6569704813","20,4779461193","23,7008973229",
Myanmar,"11,9915007268","11,8929226039","11,6332388228","10,7692262644","10,9700267967","18,6647462635","4,3530376085","12,1629862157","15,769185992","12,8088770122","14,1715403146","11,794577382","12,2261415457","10,7882402479","10,3364513936","9,9629426454","10,3401756186","12,9819702634","18,1698074056","22,2907748364","21,4794438801","22,9500919403","22,1635937698","17,9876766489","15,1314423427","15,5262686031","12,6702546566","11,5592915037","12,8051087954","9,2262523937","13,3756829936","15,3120088393","13,5471202876","12,4404731674","12,3676402747","14,2414205371","12,2542235915","12,5022666187","12,3810393496","13,4348862267","12,4450931609","11,5704167878","10,1478777407","11,0222149191","12,0495710452","13,1913892713","13,6856946501","14,8082459148","15,6349638125","18,8571137343","22,6610475546",
Namibia,,,,,,,,,,,,,,,,,,,,,"30,5506216696","28,4462616822","20,8375893769","19,4043741275","16,3886572143","10,5298013245","8,3667621777","14,8007108403","17,4416201695","16,9420035149","33,6622266075","18,7445510026","21,8583961448","16,4588260589","21,7112669958","21,6984101999","23,1163813204","20,1778998269","25,754430784","23,2885321988","17,0986175115","22,3186507287","18,5210273779","19,3705768818","19,0679256777","19,6894557897","22,2625305397","23,7238446546","28,1324324324","27,2670025189","23,4672948069",
Nepal,,,,,,"6,4441272447","4,8342740008","4,9883086018","5,6879965019","4,8465873901","5,9648722628","7,7534120634","7,3295396582","9,1784527925","8,7601502565","14,4952018576","15,1316547049","16,0243051852","18,2799509609","15,818140274","18,2861560685","17,6072070671","17,1485736534","19,6327006635","18,6620975659","22,5561327437","20,2641590697","21,1887761493","22,292148857","21,5069060928","18,1258219231","20,2534712967","20,7046617739","22,5708951401","22,4035489181","25,1994981179","27,2050877214","25,3407150471","24,8393691103","20,483516355","24,3148663462","22,3941002245","20,2462111731","21,4093789298","24,531149569","26,4511581033","26,851856948","28,685113358","30,5634714549","31,6592328549","34,6882469142",
Netherlands,,,,,,,,,,,"28,7534654659","27,4212882179","24,8946519789","24,7630150375","24,2967043207","22,1052828355","21,9746632141","22,7847049044","22,7066615271","22,0059405941","22,8461411114","20,0257910115","19,0450758385","19,8770113319","20,4477189005","20,7706135131","21,9790100599","21,8910408489","23,217338554","23,9554970753","23,4551737724","22,5752306945","22,5666141134","20,5780162529","20,8165545013","21,0223382614","21,6984879048","22,2591362126","22,752880286","22,8618851196","22,0312948608","21,4841054115","19,6870687469","19,3080963214","18,9835173784","19,0129857988","20,0092185348","20,4289114736","20,4978796631","18,6558579695","18,6763061382",
New Caledonia,,,,,,,,,,,,,,,,,,,,,,"17,0655567572","18,1325334715","16,7307575976","14,5467192494","14,0350862785","20,8882824952",,,,"31,3999985999",,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,"23,7679030768","23,8957074417","23,3942044623","26,5712493875","34,3856186285","26,8616150369","26,5380051598","24,3727611217","21,1481159881","22,5848713262","20,4980767002","24,3715583965","25,6496836522","26,0737238382","28,337259597","26,3884375662","24,1483846303","21,9345204925","20,3120138066","22,7637207576","19,8317429691","16,7318255542","17,8994136692","20,5112558523","21,9635349858","23,0387030578","22,517299115","21,5985949239","20,0593051229","21,9994406214","21,3209375214","22,1026876287","21,9326146417","23,2001284687","24,3387328004","24,7000567919","23,1498859964","23,859394623","22,3710456204","18,9141220776","19,9277320527",
Nicaragua,"14,8834355578","14,8413290491","17,2234110421","17,3864796946","19,6244635847","20,9188561944","22,989615259","20,9925652918","17,7365394604","18,9694027867","18,5942136311","17,7151747289","12,8480828377","23,9817105233","31,4973276642","21,4192052136","17,3210881407","25,6253602928","12,3395284814","-5,7397379451","16,7788530923","23,5940180583","18,7774691773","22,4817060289","22,228514927","23,1386058521","16,8927824828","15,7986930254","26,7510612058","27,4610626299","19,2758019839","20,7763790214","20,9248103525","19,4660216754","20,3734940662","21,9981439326","25,7723493058","31,1632897573","31,0346651854","38,3534927078","30,1755685458","28,2478202457","26,0692041595","25,858001727","28,0201417738","29,5095810774","30,0214272414","33,1790105728","33,221134192","23,3948816303","27,5070919329",
Niger,"6,6955470491","6,9087992344","9,8766064378","12,3164621915","10,7993929507","7,970064424","7,8421107982","8,6682754978","9,7158279115","6,2226416827","9,8496936966","7,7784586214","11,0692783079","14,9372567661","15,0551834676","14,3141696657","14,20970923","19,6823700759","22,9935618911","25,8328146948","28,1132073839","20,2915735305","20,5882360209","12,5454810396","3,1480030329","12,7472194285","11,6014554179","11,6525106558","19,0518242879","13,677549636","8,0989043436","7,4763115413","6,925740132","6,4013989142","10,3929022526","7,3170005957","9,6541373344","10,8595269669","11,260921954","10,2205052147","11,4339268978","12,1178120617","14,179005817","14,1858267717","13,8540674603","22,5906965091",,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,"31,5762486186","32,1830289552","32,430713706","27,9710387031","26,0377563527","31,8996139845","33,1554781042","30,1444727494","32,2289413829","35,4907176057","36,5029755785","37,9365234727","37,1569053445","29,0611293973","27,7452303021","27,2149807117","26,3655435985","27,3876207463","24,9015164327","26,0456106013","25,922828511","31,3428809652","29,8347801377","28,5266044241","25,6982911019","22,6852499494","20,2939951813","19,5996809287","20,3072177197","21,1649429283","22,3266630416","21,0342026875","23,3588134117","26,6642113017","22,933572821","20,3687851141","18,9974929842","18,9157916788","18,087100812","20,3083958804","21,4588543509","23,005767147","25,7913368843","24,4960963532","22,4686083632","22,4403204469",
Oman,,,,,,,,"31,1855670103","12,5794155019","9,3","13,7640449438","28,4572342126","29,8295454545","26,2101534829","30,6244520316","35,6255241095","35,8588701261","30,6189024934","28,895919309","26,0100733367","22,2932144201","22,9569698864","26,5961566252","26,4827192753","29,9714425019","27,5789246933","32,1120909737","18,7887075989","15,8505254148","12,3265596626","12,3483718756","15,0201797801","16,3537250083","17,5347655815","15,7429589389","14,9799325291","13,6952487816","17,6451268374","23,9802011327","14,8504967897","11,9344957431","12,6406361855","18,8999870281","22,3373173971","25,5749973648","23,1473533619","24,2152498057","30,6467630811","29,5860529028",,,
Pakistan,"11,5561361458","16,8635136117","18,1814077515","20,8815540477","20,5149632834","21,468080527","15,9609023144","16,7002297719","18,019467402","14,7531014173","15,7930011829","15,6317469565","14,1755152051","12,930480272","13,3720181702","16,2275310329","17,2433375289","19,2697066333","17,8580544739","17,8751380945","18,4818012257","18,7741744041","19,2612257226","18,7997916676","18,2705185406","18,3201775157","18,7743416223","19,1343269452","18,0142120055","18,9114576739","18,9353726084","19,0264024455","20,2367400042","20,8182644045","19,5464235567","18,5455233391","18,9966573482","17,9191965448","17,7111996463","15,5649424394","17,2266303827","16,9963559471","16,5827616518","16,7580186264","16,5780114811","19,0812553406","22,1404120708","22,5565135598","22,0508845238","18,2172523269","15,3652173257",
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,"28,1080229903","28,3604238644","26,9146011291","17,886710685","14,8267826019","15,2202887819","17,2346224415","18,3832006101","7,5146168838","6,1544757033","16,8279003237","19,1893603547","23,6877766736","24,7249989659","26,8118284436","30,2829460796","26,7353922399","25,6763189211","27,2133546764","25,7945409949","24,1392366938","17,6370950667","15,7499755549","18,9952989206","18,702615785","18,357937755","19,460232246","23,1307466909","27,4141649413","24,7986726559","26,67",
Papua New Guinea,"13,4110787172","13,1290027447","13,2075471698","16,0714285714","19,1122523844","21,6075496258","22,4004583214","21,9320433431","21,722063515","29,0532417274","41,6030441964","42,7556796229","27,8343439078","15,4804848635","17,4214999927","20,0424581286","18,6467555426","21,6018488188","22,6229276008","23,4778929912","25,2092973519","27,2483940043","32,1575559113","29,4375688877","26,9956826997","19,8300431898","19,7371999255","20,5059029424","27,2073428821","23,222903372","24,4424971068","27,404591968","23,3033381009","17,6347311541","21,3665638991","21,9391855851","22,7455169009","21,0575794082","17,9066848802","16,3683365096","21,8920173448","22,951887107","21,1919831343","19,9214691706","20,0013067192","19,8296738468","19,8005752","19,5843926915","19,9578480661","19,8575665022","17,8146255073",
Paraguay,"16,9006129213","16,8458355217","12,5364164099","11,1659118448","11,8558584535","15,0828657","15,8086242809","16,5358086755","15,8621872869","16,0351252192","14,7275535626","14,5636284838","15,0569153326","19,0230946908","20,9923934703","24,0985311276","24,6257041797","24,6847637604","27,195528162","28,5639938972","31,652706224","31,559187158","25,6375491953","21,4154746994","22,9324390959","21,9853059893","25,0235565784","25,0968479959","24,3660672666","23,8440682835","22,8656709502","24,8248499559","22,9056896445","22,9463045273","27,6852486402","26,0208662261","25,4563604137","26,4707371968","22,7386060028","20,837065294","18,8756642231","18,7195271192","18,8635692586","19,9247546227","20,8085274378","19,7707797388","19,647121674","18,0386876721","18,0508532574","15,5227086291","19,4921977762",
Peru,"41,926667838","41,0251418773","41,0167419213","37,0223711323","34,692900279","34,4213646304","35,9874605759","35,142544199","26,006478542","25,1343541457","15,4999996935","17,8994560764","15,1935287751","20,3524853618","25,8571163389","24,6768855794","21,9278221877","19,216904156","19,3762161065","21,6841918014","29,0154475433","34,2943854325","33,5543752756","24,2719440572","20,6460637931","18,4230083234","21,3811709081","21,4829925902","33,6145013409","20,6968573126","16,4800793899","17,2864688282","17,3067887236","19,3122413607","22,2474829029","24,818958585","22,8215702707","24,0908462123","23,6080271261","21,094295065","20,1626659919","18,653607996","18,9536789837","18,8024011391","17,9504450354","17,8897428513","20,0426677308","22,8420493612","26,8787233182","20,7082814162","24,427190739",
